,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
207,Link Mountain Weather Station,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,Obscured (Sky not visible due to fog or non-cloud layer),Not Observed,Not Observed,Not Observed,None,None,"Light mist or freezing rain most of the morning (RV to RL; ZR). Break midday, then returned early afternoon. Winds light below summit ridge; moderate gusts at times on ridge.","Jan 27, 2024 (8:30 - 14:30)","Jan 27, 2024",blase reardon,forecaster,"We visited the Link Mountain Weather Station to clear the rime off the tower and sensors. 

Soggy day, with mist or very light freezing rain in the morning and again early afternoon.
We found a thin, freezing rain crust above about 5000 ft. This did not ruin the riding, though it didn't improve it.
Mild temperatures and more rain softened this crust at mid-elevations by early afternoon. 
The crust prevented rain from saturating the near surface snow. We did not see fresh rollerballs and did not trigger wet loose snow sluffs on steep, mid-elevation slopes. 
We felt no collapses, even on slopes similar to those that collapsed 1/24.",None Reported,No whumpfs in vicinity of whumpfs reported Wednesday 1/24,48.402214,-114.13365,From Olney up to upper Whitefish Lake then Red Meadow Pass by snowmobile. Then skin up to/ ski down from Link Mtn wx station,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
208,Lost Johnny / Swan Range,Swan Range,The Mountain Riding Lab / The Mountain Guides,Snowmobiling/Snowbiking,Not Observed,Not Observed,Not Observed,Not Observed,Large Amounts,Moderate,,"Jan 26, 2024","Jan 27, 2024",Kaleb Retz,professional,Went up Lost Johnny Road and rode the basins mainly below Peter's Ridge. The riding was surprisingly soft and fun above 5500'. The upper layers of the snowpack are much more consolidated and made for very some solid stucks if your track broke through to the lower layers. Observed a 1/2'' thick crust layer on all aspects except shaded Northern faces. The crust was audible and noticeable but not thick enough to really affect the riding much. Performed many slope cuts on steep test slopes and saw no signs of instability throughout the day.,None Reported,,48.402214,-114.13365,,,,,
209,Baldhead Mountain,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Jan 26, 2024","Jan 27, 2024",,public,"Went into the Challenge Cabin for the day while some buddies were staying there.While traveling we did not experience any signs of instability (pits were a different story).  The snow was remarakably better than we had anticipated, winds were very light, no gusts, and the snow fell on and off throughout the day.  There was 20 cm of new snow that, above 6000', sat on a supportive surface.  We traveled from 5600' to 7000' and had progressively deeper new snow that made for excellent skiing.  A far cry from our experience in the Middle Fork last weekend.Digging did reavel the deeper persistent layer, which we had react with hard force.  At 6900' on a SE aspect we found a 10 cm thick ice crust (finger hard) starting 60 cm down.  On a column test it failed on CT6 on top of the ice crust (60 cm down).  On an ECT we found ECT26, failing below the layer, 70 cm down.  No propogation, HS 105 cm.  The 20-30 cm sitting on the ground seemed pretty saturated & frozen, but there was another 20-30 cm of very weak facets sitting above that, beneath the ice crust described above.Our friends dug a pit at the same elevation on a NE aspect and did not have the persistent layer react during tests, until they really started wailing on their ECT.  Their pit was 135 cm deep.For what it's worth, the top 20 cm of snow was certainly reactive in both pits - CT8, ECT4, ECT11.  We stuck to lower-angle, straigtforward terrain and didn't have any issues whatsoever with snow moving.  The new snow was on the denser, hero-y side.  All in all the touring was good medicine after the last couple weekends, and so much better than we had expected.  If there's any silver lining to the last couple weather systems, it did wonders at this location for burying and sealing in much of the bush.",Avalanches Observed,,48.402214,-114.13365,,,,,
210,Jewel Basin - Swan Range,Swan Range,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",Near Freezing,0,Not Observed,None,None,Near-below freezing tempsOvercast with an elevated cloud ceiling providing view into the valley Moderate winds from the West,"Jan 26, 2024","Jan 26, 2024",,public,Did not notice unstable snow conditions on this outing outside of pit results. The presence of the crust layer on top influenced our decision to forgo any normally enjoyable terrain. Noticed cornices on both E and W-facing aspects. The weather was calling for windy conditions so we expected some wind loading on E slopes. Did not find any recent signs of wind loading which we believe was a result of the frozen crust layer and lack of snow available for transport.,None Reported,"Noticed substantial debris on NE (6300ft) and SE (6400ft) facing slopes above 30 degrees. Initially believed to be a point-release surface slide or simply an impressive amount of rollerballs. Upon inspection, it appeared to be a wet loose slide within the top layer of snow. No notice of a crown. Difficult to tell how long ago the movement occurred - guessing 2-3 days. <br><br>No cracking or collapsing was observed.",48.402214,-114.13365,Snowmobile Jewel Basin Rd- Very whoopyCamp Misery Trailhead - toured East up drainage - gained notch and climbed to Radio Ridge from E aspect- max elevation 7000ft,,,,
211,Southern GNP,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",36 to 30,3 to 8 cm,4000,Small Amounts,None,"Drove to the trailhead with intermittent rain, which stopped about 930am. Most of the days was overcast, with only occasional light winds.","Jan 26, 2024 (9:00) - Jan 26, 2024 (17:00)","Jan 26, 2024",Sarah Williams,forecaster,"We went to Southern Glacier National Park to check on the shallow snowpack.

We verified that this part of our forecast region has a weak snow structure (maybe the weakest).
We had repeated propagating results in large column tests at mid and upper elevations.
We noted a skier-triggered hard slab avalanche on an east aspect at mid-elevation, estimated to be a week old.
We dodged large fields of frozen roller balls, likely from the most recent warm-up of last week. 
The upper half of our ski descent was nice, carvable turns. Below 5800 feet, the shallow snowpack made our exit sporty with a jungle of alder, lodgepole, and exposed downfall.",Collapsing Observed (isolated),No recent avalanches were observed. One isolated collapse occurred at upper elevations.,48.402214,-114.13365,,,,,
212,South of link mountain on FR 115,Whitefish Range,,Snowmobiling/Snowbiking,"Overcast (Cloudy, 8/8 covered)",28,3”,Not Observed,Not Observed,Not Observed,,"Jan 25, 2024","Jan 25, 2024",Craig Guthrie,public,Wet slab avalanche,Avalanches Observed,No instability observed while traveling on the FR115 from upper whitefish lake.,48.402214,-114.13365,,Not Observed,Not Observed,Not Observed,Not Observed
213,Sub Shields (6996),Flathead Range & Glacier NP,,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",30,4,Not Observed,Small Amounts,Light,It was snowing,"Jan 25, 2024","Jan 25, 2024",,public,"While skinning up the standard route to the top of Sub Shields.  We experienced several ""Whumps"" above 6,000 Feet.  This was most notable near the summit.  We choose to avoid steep and open terrain.",Collapsing Observed (widespread),"While skinning to the top of Sub Shields we experienced several ""whumps"" above 6,000 feet.  This was most notable near the summit.",48.402214,-114.13365,Followed the standard skin track to the top of Sub Shields and down the northeast drainage (The Big Run).,,,,
214,Red Meadow Lake,Whitefish Range,,Snowmobiling/Snowbiking,,,,,,,,"Jan 25, 2024","Jan 25, 2024",Northwest Montana Adventure,public,3 slides across the trails,Avalanches Observed,,48.402214,-114.13365,,,,,
215,Red Meadow,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",Near Freezing,4,4500,Small Amounts,None,Warm day with mix of obscured to broken sky cover. Sun came out at around 1300.,"Jan 24, 2024 (8:00) - Jan 24, 2024 (15:30)","Jan 24, 2024",Cam Johnson,forecaster,"Recent natural avalanche activity and loud whumpfing collapses sidetracked us from our original plan to de-rime the Link Mountain weather station.

Observed a recent large (D2) hard slab avalanche that failed on facets above the 12/22 crust. This avalanche failed on a southeast aspect at 5400 feet. More info in the avalanche tab. 
We experienced a loud collapse that sounded to have traveled a long distance. This collapse also failed on facets above the 12/22 crust. 

We dug into where the slipe failed and the weak layer on the southeast aspect was exceptionally soft and weak. 


We dug a snow pit on an adjacent east-northeast-facing slope where we triggered the shooting crack. On this aspect, we did not find as poor of a snowpack structure as we did on the slope that collapsed. 

. Today, we observed a lot of bullseye information to keep us out of avalanche-prone terrain. The riding above roughly 6000 feet is playful and fun. At around 5000 feet the snow is moist and it skis you more than you ski it.",Avalanches Observed  Cracking Observed (isolated)  Collapsing Observed (isolated),Isolated cracking in the upper 1-2 feet. Experienced two localized whumpfs with one loud whumpf that shot cracks up to 100 feet away.,48.402214,-114.13365,,,,,
216,Kimmerly Basin,Whitefish Range,,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",30,0,Not Observed,None,None,Warm conditions. Noted freeze line around 4200 feet. Saw some blue skies and sunshine briefly at 6800 feet. Conditions varied from partly sunny to overcast and foggy.,"Jan 24, 2024","Jan 24, 2024",,public,"Noted point release loose wet movement on E facing aspect that we were skiing at roughly 6800 feet. Did not step down into deeper layers and appeared to only affect the top 5 cm of snow. Based on the lack of reactivity from deeper layers we felt comfortable skiing terrain, however, a wet slab avalanche stepping down to the persistent weak layer was on our mind.",Avalanches Observed,Noticed a wet slab avalanche on a west-facing slope around 5000ft. Appeared to be a day or two old.,48.402214,-114.13365,Canyon Creek Snowpark - Smokey Access Trailhead via snowmobileClimb E facing aspect to 7000ft,,,,
217,Dog Creek Lodge/Dog Mountain,Other,,XC Skiing/Snowshoeing,"Overcast (Cloudy, 8/8 covered)",34,5cm last 48hrs,Not Observed,Not Observed,Not Observed,"mixed rain, sleet, cloud cover","Jan 22, 2024","Jan 22, 2024",,public,"crust on previously packed surfaces, condensing and crystallizing of snow with rain/recent moisture",None Reported,"unknown - most terrain here is flat or in tree cover. no collapsing or cracking, but top layers crystallizing with rain/moisture",48.402214,-114.13365,"All elevations 3200 - 3600 ft. Light rain started at 8:30am, continued to 11:00am. Turned to a light snow and stopped. No accumulation. light crust forming on snow, specifically packed trail surfaces.",,,,
218,Mt. Marston,Whitefish Range,,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",34-28,2,5200,Moderate Amounts,Light,Rain from parking lot to 4500ftSleet from 4500ft to 5200ftSnow from 5200ft upwards,"Jan 22, 2024","Jan 22, 2024",,public,Wet snow in lower to mid-elevations. Noted rollerballs mid-elevations SE aspects. Upper elevations moderately heavy snow. No freeze crust/rain crust was noted at upper elevations to affect ski quality. Woomfing on Mt Marston Ridge E aspect. The snow pit showed right-side-up snow to roughly 60cm.,Collapsing Observed (isolated),Woomf occurred on E facing leeward aspect off of Mt Marston Ridge.,48.402214,-114.13365,Parking: Fitzsimmons Parking Area - 3760ftSnowmobile Approach: Fitzsimmons Rd - FS Rd 900 - Mt. Marston/DickeySki Approach: Marston Dickey Saddle to to Mt. Marston Lookout via Ridge-7342ftSki Decent: Mt. Marston E facing slope,,,,
