,Whitefish Range,Conditions in the last 24hrsWMR Summit,Weather Forecast for Today,Weather Forecast for Tonight,Weather Forecast for Tomorrow,range,date,Conditions in the last 24hrsat WMR Summit,Conditions in the last 24hrsat WMR.,Conditions in the last 24hrsat WMR summit,Conditions in the last 24hrsat WMR,Conditions in the last 24hrsAt WMR summit,Conditions in the last 24hrsWMR summit,Conditions in the last 24hrsAt WMR Summit,Conditions in the last 24hrslWMR summit,Conditions in the last 24hrsWMR,Conditions in the last 24hrsat WMR Summit Station,Conditions in the last 12hrsWMR.,Conditions in the last 24hrsSummit of WMR,Swan Range,Conditions in the last 24hrsNoisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge.,Conditions in the last 24hrsNoisy Basin/Aneas Ridge,Conditions in the last 24hrsat Noisy/ Aeneas Ridge,Conditions in the last 24hrsNoisy Basin,Conditions in the last 24hrsat Noisy/Aeneas Ridge.,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/ Aeneas Ridge,Conditions in the last 24hrsNoisy/Aeneas Ridge.,Conditions in the last 24hrsAt Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas.,Conditions in the last 24hrsNoisy Basin/ Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aneas Ridge.,Conditions in the last 24hrsNoisy Basin /Aeneas Ridge,Conditions in the last 24hrsNoisy Basin/Aeneas.,Conditions in the last 24hrsat Noisy Basin.,Conditions in the last 24hrsat Noisy Basin/Aeneas.,Conditions in the last 24hrsNoisy Bain/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin,Conditions in the last 24hrsat Aeneas Ridge/Noisy Basin,Flathead Range & Glacier NP,Conditions in the last 24hrsTunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge.,Conditions in the last 24hrsat Tunnel,Conditions in the last 24hrs,Conditions in the last 24hrsAt Tunnel,Conditions in the last 24hrslShed 7/Snowslip,Conditions in the last 24hrsSnowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Snowslip.,Conditions in the last 24hrsat Shed 7/ Snowslip,Conditions in the last 24hrsShed 7/Snowslip,Conditions in the last 24hrsat Snowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Marias Pass.,Conditions in the last 24hrsat Shed 7/Snowslip,Conditions in the last 24hrsat Snowslip/ Shed 7,Conditions in the last 24hrsShed 7/Snowslip.,Conditions in the last 24hrsShed 7,Conditions in the last 24hrsat Shed 7,Conditions in the last 24hrsat Snowslip Mtn,Conditions in the last 24hrsat Snowslip/ Shed7,Conditions in the last 24hrsShed 4/Snowslip,Conditions in the last 24hrsShed 7/ Snowslip,Conditions in the last 24hrsat Shed 7/ Snowslip Mtn
1,Temperatures,,25 to 31 ° F,21 to 24 ° F,25 to 30 ° F,Whitefish Range,2023-01-09,,Low: 20° F | High:24 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,South,Southwest,Southwest,Whitefish Range,2023-01-09,,South southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,12G26,13G24,11,Whitefish Range,2023-01-09,,11G22mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","2"" to 3""","0""",Whitefish Range,2023-01-09,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3000',3000',2500',Whitefish Range,2023-01-09,,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 20° F | High: 29° F,25 to 32 ° F,22 to 25 ° F,25 to 32 ° F,Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,South,South,Southwest,Southwest,Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,7G17 mph,13G23,17G30,13G28,Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0 to 1""","3"" to 4""","0""",Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,3000',3000',3500',3000',Whitefish Range,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-07,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,25 to 32 ° F,19 to 22 ° F,25 to 32 ° F,Whitefish Range,2023-01-07,Low: 23° F | High: 25° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,South,South,Whitefish Range,2023-01-07,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,11,12,12,Whitefish Range,2023-01-07,9G23 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-07,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3500',3000',3000',Whitefish Range,2023-01-07,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-06,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,25 to 31 ° F,20 to 22 ° F,25 to 31 ° F,Whitefish Range,2023-01-06,Low: 16° F | High: 26° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,South,Whitefish Range,2023-01-06,Southeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,12G23,13,13G24,Whitefish Range,2023-01-06,8G18 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-06,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3500',3000',3000',Whitefish Range,2023-01-06,2000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-05,Partly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,25 to 30 ° F,21 to 23 ° F,25 to 31 ° F,Whitefish Range,2023-01-05,Low: 10° F | High: 18° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,South,Southwest,Southwest,Whitefish Range,2023-01-05,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,9,11,12G23,Whitefish Range,2023-01-05,6G15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-05,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,2000',3500',3500',Whitefish Range,2023-01-05,20001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Partly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-04,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,17 to 22 ° F,8 to 11 ° F,23 to 29 ° F,Whitefish Range,2023-01-04,Low: 10° F | High: 14° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southeast,Southeast,Whitefish Range,2023-01-04,South-Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,9,9,9,Whitefish Range,2023-01-04,8G18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-04,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,500',1000',1500',Whitefish Range,2023-01-04,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-03,,Mostly sunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,15 to 21 ° F,12 to 14 ° F,19 to 23 ° F,Whitefish Range,2023-01-03,,Low: 13° F | High: 24° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2023-01-03,,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,10G21,12,11,Whitefish Range,2023-01-03,,4G13mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-03,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,1000',1000',1000',Whitefish Range,2023-01-03,,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Partly Cloudy,Mostly Clear,Partly Cloudy,Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 16° F | High: 22° F,20 to 25 ° F,7 to 10 ° F,14 to 21 ° F,Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,West-southwest,Northwest,Southeast,Southwest,Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,5G21 mph,6,8,10,Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0""","0""","0""",Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',1500',1000',500',Whitefish Range,2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Partly Cloudy,Partly Cloudy,Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 19° F | High: 22° F,20 to 25 ° F,12 to 15 ° F,19 to 25 ° F,Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,West,West,West,Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,10G29 mph,8,8,7,Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"2""","0""","0""","0""",Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',2000',1000',1000',Whitefish Range,2023-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-31,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,23 to 29 ° F,16 to 19 ° F,20 to 26 ° F,Whitefish Range,2022-12-31,Low:16 ° F | High: 22° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,West,West,West,Whitefish Range,2022-12-31,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,14G24,12,9,Whitefish Range,2022-12-31,7G18mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"1"" to 2""","0""","0""",Whitefish Range,2022-12-31,"1-2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3000',2000',1500',Whitefish Range,2022-12-31,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-30,Overcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,23 to 28 ° F,20 to 24 ° F,23 to 28 ° F,Whitefish Range,2022-12-30,Low: 16° F | High: 19° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,South,Southwest,Southwest,Whitefish Range,2022-12-30,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,10G23,16G28,14,Whitefish Range,2022-12-30,8G18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"2"" to 3""","1"" to 2""","0""",Whitefish Range,2022-12-30,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,2500',2500',2500',Whitefish Range,2022-12-30,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-29,Obscured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,20 to 26 ° F,16 to 20 ° F,24 to 29 ° F,Whitefish Range,2022-12-29,Low: 17° F | High: 23° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,South,Whitefish Range,2022-12-29,South-Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,14,13,13G25,Whitefish Range,2022-12-29,11G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","1"" to 2""",Whitefish Range,2022-12-29,"8""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,1500',1500',2500',Whitefish Range,2022-12-29,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-28,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,23 to 29 ° F,16 to 20 ° F,21 to 27 ° F,Whitefish Range,2022-12-28,,Low:23 ° F | High:31 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2022-12-28,,South southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,17G37,15,14,Whitefish Range,2022-12-28,,14G31mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"7"" to 9""","4"" to 5""","0""",Whitefish Range,2022-12-28,,"9""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3000',1500',1000',Whitefish Range,2022-12-28,,5500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-27,Obscured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,30 to 36 ° F,21 to 25 ° F,24 to 28 ° F,Whitefish Range,2022-12-27,Low: 29° F | High: 31° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2022-12-27,South-Southwesterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,23G48,30G48,18G37,Whitefish Range,2022-12-27,14G28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"5"" to 7""","5"" to 6""","6"" to 7""",Whitefish Range,2022-12-27,"2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,5500',3500',2500',Whitefish Range,2022-12-27,6500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Overcast,Whitefish Range,2022-12-26,,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,31 to 37 ° F,28 to 31 ° F,31 to 35 ° F,Whitefish Range,2022-12-26,,Low:25 ° F | High:27 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2022-12-26,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,26G49,20G45,19G33,Whitefish Range,2022-12-26,,10G32mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"2"" to 3""","4"" to 6""","5"" to 7""",Whitefish Range,2022-12-26,,"3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,6500',5500',5000',Whitefish Range,2022-12-26,,5000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 14° F | High: 26° F,26 to 29 ° F,23 to 26 ° F,31 to 35 ° F,Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,West,Southwest,Southwest,Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,14G39 mph,14G25,12,19G36,Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"3""","0""","0 to 1""","1"" to 2""",Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,3000',3500',4500',6000',Whitefish Range,2022-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: -10° F | High: 14 ° F,26 to 29 ° F,21 to 24 ° F,26 to 30 ° F,Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,Southwest,Southwest,Southwest,Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,12G27 mph,17G40,32G55,21G47,Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"2""","3"" to 4""","3"" to 5""","1""",Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,500',1500',4000',4500',Whitefish Range,2022-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Clear,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: -26° F | High: -10° F,8 to 12 ° F,2 to 7 ° F,23 to 27 ° F,Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Northeast,Southwest,Southwest,Southwest,Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,9G15 mph,11G24,12,12G24,Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","2"" to 3""","1"" to 2""","1""",Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,0',0',1000',2000',Whitefish Range,2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Clear,Partly Cloudy,Mostly Cloudy,Whitefish Range,2022-12-22,Mostly Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,-20 to -16° F,-23 to -19 ° F,-2 to 1 ° F,Whitefish Range,2022-12-22,Low: -27° F | High: -19° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,East,South,South,Whitefish Range,2022-12-22,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,9G23,8,9G20,Whitefish Range,2022-12-22,13G30mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","1""",Whitefish Range,2022-12-22,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,0',0',0',Whitefish Range,2022-12-22,0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Partly Cloudy,Mostly Clear,Mostly Clear,Whitefish Range,2022-12-21,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,-23 to -15 ° F,-31 to -26 ° F,-20 to -16 ° F,Whitefish Range,2022-12-21,Low: -24° F | High: 10° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Northeast,Northeast,East,Whitefish Range,2022-12-21,Southwest to Northwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,19G37,14G24,10G24,Whitefish Range,2022-12-21,12G31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2022-12-21,"10""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
